OBJECTID,shortName,cableSystem,owner,status,region
510,SC F,Southern Cross,Southern Cross Cable Network,In Service,West Coast
511,NORTH STAR,Northstar Nedonna,Alaska Communications,In Service,West Coast
512,NCP,New Cross Pacific Cable,Microsoft Infrastructure Group LLC,In Service,West Coast
513,NPC,North Pacific Cable System,GCI Communication Corp,Out of Service,West Coast
514,TPE,Trans-Pacific Express,MCI International Inc,In Service,West Coast
515,TGN G1,TGN Pacific,TATA Communications,In Service,West Coast
516,AU West 2,Alaska United West,GCI Communication Corp,In Service,West Coast
517,AU East C,Alaska United East,GCI Communication Corp,In Service,West Coast
518,PC1 E,Pacific Crossing 1,NTT Communications,In Service,West Coast
519,PC1 N,Pacific Crossing 1,NTT Communications,In Service,West Coast
520,WAAK 2,Washington - Alaska 2,<Null>,Out of Service,West Coast
521,Amitie,Amitie,EXA Infrastructure,In Service,East Coast
522,PTAT E2,Private Transatlantic Tellecommunications Cable System,Sprint,Out of Service,East Coast
523,CVOW,Coastal Virginia Offshore Wind,Dominion Energy,In Service,East Coast
524,BRUSA 1,BRUSA Cable System,Telxius,In Service,East Coast
525,Duant,Dunant,Google,In Service,East Coast
526,MAREA,MAREA Cable System,"Telxius USA, Edge Cable Holdings USA LLC",In Service,East Coast
527,AU Aleutian,AU Aleutian,GCI Communication Corp,In Service,Pacific Northwest
528,GCI,GCI South East Alaska Fiber Optic Cable,GCI Communication Corp,In Service,Pacific Northwest
529,GCI,GCI South East Alaska Fiber Optic Cable,GCI Communication Corp,In Service,Pacific Northwest
530,GCI,GCI South East Alaska Fiber Optic Cable,GCI Communication Corp,In Service,Pacific Northwest
531,,Northstar Cable,Alaska Communications,In Service,Pacific Northwest
532,AU SE,Alaska United Southeast,GCI Communication Corp,In Service,Pacific Northwest
533,AU EAST D,Alaska United,GCI Communication Corp,In Service,Pacific Northwest
534,North Star,Northstar Valdez - Whittier,Alaska Communications,In Service,Pacific Northwest
535,Hawaiki,Hawaiki Cable,Hawaiki Submarine Cable LP,In Service,Pacific Islands
536,Honotua,Honotua,"ONATI SAS, OPT French Polynesia",In Service,Pacific Islands
537,SCCN,Southern Cross Cable Network,Southern Cross Cable Network,In Service,Pacific Islands
538,SC G,Southern Cross,Southern Cross Cable Network,In Service,Pacific Islands
539,,Guam 2,<Null>,Out of Service,Pacific Islands
540,TPC 5-H,Trans-Pacific Cable,AT&T Corp,Out of Service,Pacific Islands
541,AAG,Asia America Gateway ,AT&T and Partners,In Service,Pacific Islands
542,HAW-3,Hawaii 3,AT&T Corp,Out of Service,Pacific Islands
543,AAG 5,Asia America Gateway,AT&T Corp,In Service,Pacific Islands
544,HAW 5,Hawaii 5,AT&T Corp,Out of Service,Pacific Islands
545,TPC 5-CN,Trans-Pacific Cable 5 Network,AT&T Corp,In Service,Pacific Islands
546,HAW 1,Hawaii 1 West-East,AT&T Corp,Out of Service,Pacific Islands
547,HAW 1,Hawaii 1 East-West,AT&T Corp,Out of Service,Pacific Islands
548,,,,Abandoned,Pacific Islands
549,JUS,Japan U.S. Cable Network,"Verizon, AT&T, BT, T-Mobile, Lumen, NTT, and others",In Service,Pacific Islands
550,HAW 4,Hawaii 4,AT&T Corp,Out of Service,Pacific Islands
551,JUS 1,Japan U.S. Cable Network,"Verizon, AT&T, BT, T-Mobile, Lumen, NTT and others",In Service,Pacific Islands
552,HIFN,Hawaii Island Fibre Network,"Hawaiian Telcom, Lumen",In Service,Pacific Islands
553,Paniolo,Paniolo Cable System,Hawaiian Telecom Inc,In Service,Pacific Islands
554,HICS,Hawaii Inter-Island Cable System,Hawaiian Telcom,In Service,Pacific Islands
555,WETS,Wave Energy Test Site Power Line,Department of Defense,In Service,Pacific Islands
556,WETS,Wave Energy Test Site Power Line,Department of Defense,In Service,Pacific Islands
557,AKORN,AKORN,Alaska Communications,In Service,Pacific Northwest
558,AKORN,AKORN,Alaska Communications,In Service,Pacific Northwest
559,Quintillion,Quintillion Subsea Cable Network,Quintillion Subsea Operations LLC,In Service,Pacific Northwest
560,345 kV AC,Bayonne Energy Center Cable,Bayonne Energy Center LLC,In Service,East Coast
561,345 kV AC,Bayonne Energy Center Cable,Bayonne Energy Center LLC,In Service,East Coast
562,HAVFRUE 1,HAVFRUE Cable System,America Europe Connect 2 USA Inc,In Service,East Coast
563,MAC 1-2,Mid-Atlantic Crossing,Lumen Technologies Inc,In Service,East Coast
